,loanpurposecode,loanapprovalcode,loaninterestrate,loanoriginalbalance,loanpayment,loanpaymentcount,loancreditscore,debtratio,rbl
22090,3,585,6.0,20000.0,491.1,48,789,0.1931,1
20270,25,570,6.75,10000.0,50.0,0,745,0.2903,1
8462,2,780,5.5,4000.0,180.54,24,791,0.5748,1
19272,40,55,6.75,1500.0,50.0,0,0,0.2704,0
1336,40,1407,6.75,5000.0,50.0,0,729,0.2589,1
20125,43,55,13.0,500.0,25.0,0,682,0.2031,1
10094,40,780,6.75,10000.0,50.0,0,757,0.1441,1
5329,13,780,3.75,20000.0,374.46,60,753,0.4326,1
19109,40,1437,6.75,10000.0,151.0,0,759,0.6001,1
15407,3,780,5.75,18700.0,359.32,60,789,0.2087,1
10750,14,55,4.0,20917.8,384.94,60,717,0.4607,2
20573,13,780,5.25,20524.86,369.11,72,644,0.3849,3
16878,3,1437,7.75,15000.0,316.65,60,710,0.4612,2
18181,40,1437,6.75,5000.0,111.0,0,716,0.3944,2
12702,25,47,10.25,15000.0,351.56,60,656,0.4867,3
6666,25,780,6.0,15000.0,296.68,60,729,0.7976,1
19727,3,1017,4.5,10000.0,205.25,60,738,0.8164,1
3081,25,780,6.0,6000.0,182.77,36,721,0.6625,1
10895,25,780,5.75,5300.0,160.88,36,752,0.2576,1
22028,3,55,4.5,10443.73,195.09,60,746,0.492,1
6940,40,780,6.75,8500.0,50.0,0,755,0.4494,1
18735,43,47,13.0,1000.0,25.0,0,770,0.4175,1
673,3,780,6.75,29099.64,629.22,60,728,0.5683,1
3605,25,780,6.25,25583.77,496.54,60,804,0.1918,1
5195,3,1916,10.75,12539.02,284.33,60,659,0.31,3
16041,3,780,5.75,17107.57,346.55,60,743,0.4637,1
11627,3,47,10.25,8264.51,192.45,60,654,0.1435,3
1393,13,585,5.0,17550.0,331.38,60,715,0.255,2
1521,3,1437,16.5,15209.47,373.25,60,623,0.0776,4
3886,2,585,6.75,11000.0,492.02,24,707,0.546,2
11556,25,1437,14.5,1500.0,95.46,18,0,0.052,4
2507,9999,1437,15.75,22727.88,489.91,72,0,0.2063,4
11445,2,1437,10.0,14400.0,395.25,48,670,0.1855,3
11091,25,780,5.75,15000.0,288.7,60,737,0.4095,1
7663,40,1916,6.75,15000.0,459.0,0,700,0.3823,2
3317,2,780,10.0,8000.0,373.98,24,650,0.3931,3
18404,13,1437,7.0,45000.0,891.28,60,667,0.1941,3
1671,3,780,6.0,6652.8,214.81,36,765,0.5504,1
22160,40,570,6.75,20000.0,649.0,0,763,0.5307,1
4860,3,1017,7.75,11595.49,304.29,48,712,0.2767,2
3742,40,780,6.75,15000.0,479.0,0,747,0.3221,1
16020,13,780,3.5,14562.89,271.77,60,799,0.5283,1
14907,25,1437,15.5,2700.0,131.74,24,543,0.06,5
20300,13,585,3.0,8695.86,171.71,60,748,0.0622,1
4222,2,1462,15.75,1500.0,138.01,12,657,0.327,5
4168,17,780,5.0,15492.14,292.55,60,702,0.2528,2
1604,9999,1437,3.75,19209.42,432.24,48,793,0.5314,1
1786,14,780,3.0,20000.0,359.73,60,803,0.4357,1
4842,3,1407,6.0,10000.0,304.92,36,739,0.5551,1
6503,25,1462,10.25,4000.0,137.99,36,655,0.0649,3
10578,2,55,6.75,10000.0,317.21,36,709,0.267,2
6536,7,1437,7.75,8445.92,205.46,48,719,0.1456,2
12364,2,780,6.75,5000.0,162.85,36,685,0.094,2
494,2,1017,6.5,2000.0,172.58,12,702,0.1067,2
11397,25,1437,15.75,19800.0,479.14,60,0,0.2914,4
8110,43,570,13.0,1000.0,25.0,0,712,0.1779,2
95,43,55,13.0,1500.0,50.0,0,736,0.5034,1
20531,43,1017,13.0,1000.0,25.0,0,615,0.3473,4
20940,40,1017,6.75,20000.0,50.0,0,822,0.3577,1
16686,2,47,15.25,5000.0,252.24,24,682,0.3075,5
15836,25,1176,6.0,20000.0,396.43,60,772,0.2539,1
15901,3,570,8.25,36109.37,676.39,72,712,0.2578,2
2030,25,780,7.0,5000.0,99.02,60,802,0.8952,1
7215,13,780,3.5,40000.0,728.05,60,728,0.558,1
10439,3,780,6.75,30000.0,643.58,60,736,0.3158,1
21728,40,570,6.75,15000.0,50.0,0,745,0.3703,1
10688,25,166,9.75,4000.0,136.85,36,654,0.4781,3
4308,25,780,7.0,12124.89,246.54,60,792,0.1588,1
8578,2,1437,14.5,4000.0,368.91,12,625,0.1653,4
6775,7,1437,10.5,7000.0,193.58,48,657,0.414,3
21414,3,166,11.0,18555.69,359.59,84,570,3.0771,5
18896,25,47,7.0,20000.0,404.81,60,708,0.4017,2
13962,23,780,5.75,10000.0,211.06,60,745,0.174,1
14781,2,1017,6.75,5500.0,174.6,36,697,0.4828,2
21990,40,585,6.75,18625.05,590.0,0,745,0.4396,1
15845,9999,1176,7.0,14921.0,224.75,84,839,0.2355,1
5008,2,780,5.5,3500.0,202.76,18,733,0.4424,1
9620,14,1437,3.75,26450.8,437.65,72,834,0.4993,1
919,2,1916,14.75,1500.0,136.84,12,0,0.1998,4
1575,2,780,6.75,5000.0,225.71,24,695,0.2683,2
19695,25,780,4.5,15000.0,293.32,60,798,0.1889,1
1723,3,1437,8.5,13462.93,283.51,60,716,0.2705,2
10020,23,780,5.75,15000.0,316.7,60,746,0.3643,1
18049,13,780,3.0,27000.0,598.35,48,794,0.1967,1
16592,3,780,6.0,10000.0,193.08,60,720,0.4663,1
14220,40,1176,6.75,20000.0,480.0,0,680,0.3919,3
3036,3,780,6.25,30000.0,582.6,60,761,0.2687,1
11934,25,780,7.0,6000.0,149.41,48,716,0.094,2
3490,17,1437,7.75,12820.21,271.31,60,662,0.3078,3
4744,2,780,5.75,7000.0,322.51,24,743,0.5189,1
3810,25,1916,14.5,500.0,59.84,9,0,0.1807,4
7760,25,780,6.0,20000.0,386.72,60,753,0.1904,1
18798,3,1017,10.0,32301.11,687.58,60,673,0.2558,3
11002,25,1437,9.75,5000.0,160.99,36,672,0.0802,3
9843,25,166,15.25,2500.0,121.78,24,462,0.1619,5
3501,23,1916,15.5,6044.56,221.13,36,611,0.1154,4
16033,3,47,5.75,20000.0,393.04,60,756,0.7511,1
10000,3,780,5.75,14483.63,278.93,60,725,0.3212,1
11629,13,780,3.25,12500.0,226.09,60,737,0.3548,1
1044,3,1437,6.0,24320.49,507.4,60,735,0.2225,1
3060,3,780,6.0,10500.0,207.87,60,770,0.4502,1
2074,25,780,5.5,3000.0,132.3,24,749,0.1495,1
7862,25,1407,15.75,8487.72,239.45,48,626,0.1915,4
22051,40,1017,6.75,10000.0,50.0,0,763,0.3146,1
7915,13,570,4.5,9477.48,185.86,60,695,0.0859,2
17939,3,47,4.5,15000.0,285.44,60,756,0.4276,1
12003,40,1176,6.75,4000.0,119.0,0,680,0.148,3
16386,14,1437,2.75,23013.82,387.18,48,695,0.4487,2
1505,3,780,6.0,25000.0,495.56,60,802,0.3968,1
16330,40,585,6.75,30000.0,975.0,0,791,0.4951,1
16375,25,780,6.0,14000.0,297.32,60,763,0.723,1
6624,3,1437,6.25,1937.92,167.11,12,702,0.3985,2
4041,25,585,16.0,2000.0,101.71,24,576,0.1815,5
21544,3,55,4.5,20681.65,423.63,60,718,0.4054,2
12555,23,780,5.75,30000.0,590.21,60,720,0.336,1
4307,13,585,13.3,12879.1,307.59,60,575,0.403,5
10794,3,1437,7.0,9000.0,232.08,48,684,0.4422,2
4831,25,780,6.0,17000.0,336.65,60,787,0.3029,1
12707,25,570,9.5,3354.68,157.6,24,658,0.289,3
9830,13,1437,4.5,13382.18,273.67,60,684,0.3188,2
4390,3,1916,15.0,3728.0,181.68,24,609,0.0629,4
11196,40,780,6.75,15000.0,407.0,0,723,0.3256,1
10538,25,780,6.0,4000.0,128.83,36,728,0.6628,1
18309,25,585,10.5,11000.0,240.46,60,651,0.4183,3
2091,3,1090,8.25,15761.59,336.84,60,718,0.4106,2
22228,40,55,6.75,10000.0,50.0,0,700,0.1793,2
5967,25,1437,7.25,6000.0,195.24,36,684,0.4617,2
6408,23,780,6.0,10000.0,198.42,60,790,0.4947,1
2153,25,1916,7.25,3500.0,108.66,36,701,0.3108,2
326,3,780,7.0,30000.0,639.79,60,747,0.4885,1
12670,25,780,6.0,5000.0,119.92,48,744,0.1769,1
11104,13,1437,8.0,29890.4,524.3,72,642,0.2913,3
20975,43,780,13.0,1000.0,25.0,0,774,0.0114,1
18701,24,585,6.25,10000.0,213.16,60,698,0.4914,2
18663,40,47,6.75,6000.0,50.0,0,839,1.0068,1
6711,13,1916,4.75,22055.38,434.83,60,708,0.5002,2
18265,3,1437,15.25,10000.0,261.72,60,602,0.2759,4
20695,14,585,2.5,20000.0,354.95,60,820,0.3301,1
21012,3,585,14.45,15000.0,383.75,60,609,0.0299,4
19922,43,1437,13.0,1000.0,25.0,0,698,0.5685,2
6565,2,780,6.25,20000.0,647.08,36,720,0.4373,1
3690,40,1407,6.75,3000.0,50.0,0,700,0.5061,2
5544,25,780,6.0,13500.0,411.55,36,721,0.374,1
12556,23,1437,6.25,2000.0,92.26,24,688,0.0787,2
4667,25,1017,10.0,2500.0,119.94,24,674,0.328,3
2223,25,585,15.5,1233.26,111.52,12,532,0.255,5
1766,2,1916,9.75,5000.0,230.26,24,674,0.3926,3
15244,3,47,16.0,20000.0,496.9,60,638,0.3713,4
7818,25,1407,10.5,5000.0,137.96,48,668,0.1698,3
2268,25,780,6.0,7000.0,212.97,36,744,0.4784,1
5119,3,1437,10.25,14660.85,488.29,36,667,0.2498,3
2033,2,780,5.5,8000.0,368.88,24,732,1.2222,1
8896,25,780,5.75,10000.0,210.32,60,799,0.7967,1
2571,3,1407,16.5,9830.48,242.82,60,620,0.4102,4
9222,2,780,5.25,3000.0,132.16,24,745,0.2425,1
20479,40,9999,6.75,10000.0,50.0,0,777,0.7043,1
22409,9999,341,10.0,7600.0,161.81,60,671,0.329,3
5337,25,780,6.25,15000.0,361.55,48,726,0.1863,1
10977,3,1437,14.75,4161.11,152.08,36,616,0.3002,4
3596,3,780,5.5,9161.0,420.2,24,739,0.2592,1
4688,13,780,5.0,19995.0,414.07,60,690,0.146,2
20800,3,570,10.0,11917.36,276.88,60,675,0.1288,3
20268,3,9999,6.5,48229.02,831.5,72,687,0.4409,2
2876,25,1407,15.0,2000.0,128.65,18,637,0.1685,4
4036,3,780,6.25,15000.0,354.1,48,742,0.4557,1
2598,9999,1017,4.5,40294.08,561.14,84,695,0.28,1
19159,25,1437,15.45,4600.0,138.41,48,597,0.1156,5
13448,3,780,7.0,11508.75,249.31,60,751,0.7394,1
5710,40,1017,6.75,10000.0,117.0,0,820,0.1373,1
8873,3,1407,10.25,20000.0,449.94,60,640,0.099,3
11974,25,47,7.75,12000.0,253.6,60,686,0.143,2
855,3,780,5.75,14561.59,279.93,60,727,0.1872,1
12985,2,780,5.75,15000.0,288.5,60,835,0.7968,1
9196,2,780,5.25,8000.0,463.12,18,812,0.4245,1
2485,3,780,7.0,25524.08,506.43,60,806,0.327,1
7184,40,1017,6.75,4000.0,127.0,0,684,0.3415,2
6215,23,570,14.75,1000.0,92.01,12,0,0.3453,4
17185,25,1437,10.25,10000.0,217.38,60,672,0.3913,3
13047,13,1437,5.0,26910.73,493.79,66,712,0.5055,2
2898,13,780,3.0,8000.0,240.06,36,814,0.173,1
22335,43,1090,13.0,600.0,25.0,0,633,0.5088,1
4472,3,166,7.5,41700.0,742.0,72,761,0.628,1
14428,13,47,3.25,30640.03,583.3,60,731,0.161,1
5533,13,780,4.25,33000.0,535.06,72,743,0.3401,1
16040,40,1437,6.75,15000.0,386.0,0,667,0.274,3
19806,14,47,4.0,27910.31,381.85,84,727,0.8232,1
9382,40,585,6.75,8000.0,260.0,0,668,0.4308,3
12470,25,570,9.75,10000.0,342.56,36,655,0.4446,3
2452,24,780,6.25,5000.0,118.15,48,733,0.2549,1
9475,3,780,5.75,15510.0,326.92,60,727,0.3088,1
11797,40,47,6.75,5000.0,147.0,0,756,0.3048,1
2835,25,780,6.0,10000.0,192.86,60,779,0.3688,1
15538,2,780,6.75,15031.91,324.32,60,738,0.1915,1
2426,3,166,6.0,38000.0,772.43,60,791,0.0682,1
12419,40,780,6.75,15000.0,381.0,0,752,0.2089,1
1265,13,1407,5.25,21843.97,455.61,54,714,0.49,2
9350,14,166,4.25,94953.44,1310.74,84,807,0.6567,1
12143,13,47,4.75,40000.0,657.81,72,715,0.3234,2
21346,25,47,10.5,10000.0,215.28,60,678,0.2783,3
1871,3,780,7.0,10685.65,212.0,60,780,0.1316,1
5944,3,780,6.0,15000.0,296.91,60,759,0.5334,1
12492,3,1437,6.25,35000.0,684.74,60,706,0.4754,2
6010,25,585,9.5,2000.0,179.74,12,668,0.3375,3
3638,23,780,6.0,20000.0,386.64,60,784,0.3021,1
20664,40,570,6.75,5000.0,98.0,0,700,0.3374,1
11263,40,1437,6.75,5000.0,162.0,0,611,0.1754,4
11055,25,570,8.0,26000.0,577.19,60,691,0.4607,2
11310,25,1437,6.75,3000.0,97.7,36,684,0.4336,2
18270,25,780,4.5,15000.0,279.35,60,726,0.488,1
6090,25,780,5.75,2000.0,88.44,24,755,0.1214,1
2712,25,1407,6.0,18300.0,387.75,60,741,0.2616,1
9506,3,780,5.75,14000.0,269.03,60,814,0.4374,1
20817,3,585,7.0,8752.98,182.18,60,717,0.3569,2
9611,3,1437,10.25,40352.0,865.72,60,676,0.3991,3
9240,25,1437,10.25,22000.0,471.08,60,658,0.4572,3
22432,40,570,6.75,10000.0,84.0,0,763,0.397,1
20296,13,55,3.0,12312.74,232.9,60,737,0.1279,1
1550,2,780,6.5,8000.0,197.93,48,754,0.6158,1
7584,40,780,13.0,500.0,25.0,0,774,0.1221,1
15106,3,47,7.75,6852.0,138.1,60,689,0.6495,2
19669,40,55,6.75,4993.29,159.0,0,654,0.0907,3
17341,3,1437,7.75,12000.0,265.21,60,667,0.4496,3
17918,25,1437,10.25,15000.0,351.51,60,636,0.2704,4
16901,25,1437,7.75,19866.0,409.48,60,697,0.3504,2
15768,2,1437,10.0,8048.03,268.36,36,667,0.2832,3
15984,25,780,5.75,10797.28,327.16,36,722,0.4106,1
6364,25,1916,9.75,2000.0,95.72,24,675,0.3767,3
5322,13,780,3.75,15000.0,274.78,60,783,0.4452,1
11129,25,1017,9.25,2000.0,91.54,24,673,0.0715,3
399,14,1437,7.25,39338.54,677.45,72,675,0.2048,3
8202,2,780,5.5,15000.0,667.45,24,745,0.3583,1
13164,40,1176,6.75,15000.0,344.0,0,750,0.4968,1
5427,2,1437,9.25,3836.0,336.43,12,660,0.352,3
19003,3,780,5.5,3947.85,119.41,36,760,0.1466,1
8641,25,1437,15.5,6000.0,221.05,36,625,0.3546,4
9736,3,1437,6.25,2801.79,127.46,24,690,0.3435,2
486,43,166,13.0,500.0,25.0,0,676,0.5714,3
7973,25,780,7.25,15000.0,325.18,60,767,0.2814,1
15662,3,780,5.75,28582.91,605.3,60,721,0.3887,1
2782,9999,1437,14.75,13078.0,311.31,60,0,0.1305,4
18248,8,585,4.5,19848.0,377.43,60,782,0.4283,1
21693,25,585,16.25,15633.53,401.96,60,578,0.2212,5
6580,13,780,3.5,15000.0,272.82,60,850,0.2127,1
7167,3,1916,7.25,8040.57,263.03,36,719,0.114,2
17259,40,1437,6.75,8000.0,254.0,34,693,0.3363,2
18664,3,585,4.5,24103.0,493.92,60,740,0.3185,1
6155,24,585,14.5,1000.0,90.08,12,0,0.354,4
20844,25,585,5.75,10000.0,210.78,60,734,0.3014,1
13222,3,1437,7.75,41731.85,841.73,60,684,0.3934,2
5261,25,1462,6.0,30000.0,581.2,60,775,0.6753,1
6066,2,780,5.0,6000.0,524.72,12,729,0.4122,1
13937,13,780,3.0,13000.0,287.51,48,793,0.3291,1
4296,25,780,2.49,15000.0,1268.23,12,742,0.6736,1
14463,43,780,13.0,1000.0,25.0,0,820,0.3247,1
20552,23,55,7.0,20000.0,432.81,60,683,0.3304,2
18191,25,47,7.25,20000.0,417.74,60,692,0.3291,2
13672,43,47,13.0,800.0,25.0,0,622,0.4718,4
19050,40,1437,6.75,5000.0,156.0,0,759,0.5154,1
14930,3,780,6.75,16298.38,351.6,60,739,0.4635,1
942,23,47,15.75,12000.0,315.32,60,615,0.3682,4
10557,2,780,5.75,5000.0,151.55,36,722,0.4429,1
14797,13,55,4.5,26676.81,408.59,72,695,0.423,2
18961,3,1437,10.0,10796.69,251.17,60,643,0.2667,3
21716,3,55,4.5,10000.0,195.38,60,760,0.2648,1
6704,13,780,3.25,13587.43,314.73,48,738,0.5607,1
16844,40,1437,6.75,30000.0,50.0,0,774,0.3556,1
619,40,1017,6.75,2000.0,55.0,0,678,0.1988,3
4521,3,1437,6.0,32032.31,653.04,60,763,0.2735,1
13807,13,780,3.25,10000.0,198.51,60,762,0.1553,1
8385,3,55,6.0,22100.0,450.65,60,725,0.5357,1
21659,13,570,3.5,14502.43,269.08,60,730,0.2737,1
10373,2,780,5.75,10000.0,308.05,36,747,0.3939,1
4476,25,1437,17.75,13500.0,371.78,60,597,0.3171,5
6945,14,780,2.5,15000.0,433.01,36,733,0.09,1
20686,3,55,9.75,15346.97,354.16,60,648,0.2365,3
12314,3,585,7.75,27184.25,577.2,60,713,0.3517,2
2608,25,1407,6.25,1000.0,87.98,12,695,0.3644,2
9678,13,1916,7.0,27121.49,537.73,60,667,0.1609,3
11894,40,47,6.75,2000.0,50.0,0,715,0.4393,2
2926,25,780,6.0,7000.0,212.92,36,800,0.2357,1
878,25,1017,10.5,5000.0,137.58,48,655,0.2053,3
12730,2,780,5.75,15000.0,294.58,60,817,0.4684,1
6800,3,1437,7.0,30817.23,668.36,60,793,0.4914,1
1831,3,780,6.25,12813.46,255.21,60,724,0.3707,1
6703,14,585,2.5,27000.0,778.66,36,850,0.6006,1
779,3,1437,10.0,12000.0,328.19,48,677,0.2283,3
18124,3,1437,15.5,29099.45,734.54,60,638,0.2163,4
19801,3,166,10.5,30570.0,638.02,72,674,0.2669,3
14147,25,1437,10.25,10000.0,219.45,60,674,0.1816,3
17531,14,570,3.0,15880.06,285.7,60,760,0.1249,1
3343,2,780,6.0,10000.0,304.87,36,826,0.2712,1
2219,9999,1437,4.25,45410.39,627.05,84,731,0.5007,1
1121,43,780,13.0,2500.0,75.0,0,723,0.0406,1
5463,3,1017,10.75,7500.0,177.76,60,654,0.3815,3
18042,23,780,4.5,13000.0,242.56,60,688,0.1236,2
7183,25,780,6.0,6000.0,188.01,36,761,0.0628,1
9489,2,55,9.5,2000.0,91.56,24,654,0.2714,3
19534,43,570,13.0,500.0,25.0,0,674,0.4379,3
1985,25,780,7.0,30000.0,610.04,60,787,0.4797,1
10800,2,1437,14.25,2000.0,127.68,18,0,0.2011,4
15840,40,570,6.75,5000.0,147.0,0,650,0.1827,3
1491,3,1437,7.0,38467.58,800.06,60,778,0.4515,1
15479,3,780,6.75,25000.0,540.5,60,763,0.4212,1
8940,3,1437,7.75,17286.28,382.09,60,705,0.5067,2
15033,25,780,7.75,10000.0,220.52,60,716,0.2572,2
7492,3,1407,7.0,32000.0,633.21,60,739,0.31,1
17720,40,1437,6.75,5000.0,112.0,0,694,0.1603,2
17345,25,1437,7.75,23275.82,514.16,60,664,0.2009,3
16646,13,780,5.0,22000.0,395.36,72,703,0.2219,2
5001,25,1916,6.25,2000.0,175.98,12,696,0.4946,2
21751,13,55,4.25,16970.4,260.66,60,681,0.1059,2
7854,3,1916,10.75,10000.0,227.03,60,672,0.0806,3
4905,25,1017,7.25,6000.0,186.21,36,713,0.1435,2
4514,43,1916,13.0,5000.0,25.0,0,715,0.4347,2
9053,3,1437,10.0,10498.17,276.91,48,666,0.3467,3
14213,3,1437,10.25,12000.0,262.59,60,679,0.2831,3
7236,3,780,5.75,5000.0,221.15,24,803,0.064,1
22265,8,47,4.5,15000.0,285.66,60,757,0.3841,1
8852,40,780,6.75,15000.0,50.0,0,758,0.0838,1
21039,3,55,9.75,16500.0,348.55,60,665,0.2722,3
7010,3,1916,8.25,25642.77,576.09,60,705,0.4206,2
8123,25,780,6.0,10000.0,211.91,60,820,0.2879,1
18986,25,780,6.5,6000.0,189.29,36,673,0.0544,3
16166,3,1176,7.75,23000.0,499.14,60,719,0.1411,2
2077,25,1916,10.0,4144.4,193.14,24,670,0.3943,3
14611,3,780,7.5,30000.0,574.58,72,836,0.427,1
1687,9999,1437,15.75,25961.05,559.59,72,0,0.2706,4
2995,3,780,6.0,14000.0,271.11,60,727,0.356,1
14968,25,780,5.75,15000.0,288.7,60,781,0.3324,1
22127,13,585,3.5,12000.0,218.33,60,831,0.7381,1
15095,40,1437,6.75,10000.0,265.0,0,687,0.5052,2
2871,3,1407,10.75,23835.0,514.83,60,656,0.1632,3
6097,9999,1090,16.2,20230.49,444.0,72,628,0.1222,4
7580,2,1916,7.25,8000.0,247.63,36,710,0.5342,2
3153,25,570,15.75,2500.0,231.23,12,524,0.3135,5
14017,25,1437,9.75,6534.83,222.72,36,664,0.1047,3
6230,3,780,6.0,7864.91,239.35,36,804,0.661,1
8632,25,1017,15.0,1000.0,62.77,18,633,0.2679,4
3242,25,1437,6.75,3300.0,147.49,24,708,0.1572,2
6769,3,780,6.0,15000.0,290.65,60,762,0.3678,1
5856,13,1017,4.75,24827.74,569.82,48,687,0.2265,2
12450,3,570,16.0,8936.48,264.61,48,579,0.1878,5
9781,25,1437,6.25,1600.0,73.78,24,681,0.4505,2
7602,3,780,6.0,30000.0,593.51,60,722,0.5436,1
1429,3,780,6.25,15000.0,291.64,60,768,0.9336,1
8426,25,1407,9.25,1000.0,89.19,12,658,0.4362,3
15964,40,780,6.75,15000.0,239.0,0,687,0.4054,2
9159,25,1407,15.75,18000.0,472.07,60,0,0.0954,4
2765,25,780,7.0,8000.0,158.47,60,766,0.5679,1
16371,13,47,3.5,44368.61,806.22,60,781,0.5285,1
1715,2,1916,5.0,2500.0,218.48,12,693,0.1176,1
15321,3,780,5.75,18725.0,395.46,60,728,0.537,1
10422,3,1017,14.75,12710.5,465.59,36,639,0.3491,4
913,40,47,6.75,20000.0,442.0,0,638,0.4574,4
7878,25,780,6.0,10000.0,197.86,60,750,0.1932,1
1670,3,1407,10.25,12600.0,407.81,36,670,0.4113,3
17867,3,570,4.5,10408.67,198.07,60,836,0.4633,1
5102,25,1437,15.75,4000.0,121.37,48,603,0.2751,4
7531,13,585,4.25,32036.34,563.8,72,730,0.1767,1
2387,9999,1462,3.25,20133.77,364.47,60,813,0.669,1
2599,9999,1916,16.6,34945.0,816.02,66,609,0.2924,4
18557,25,1437,4.5,10000.0,204.78,60,737,0.4905,1
8753,23,780,5.75,5000.0,220.93,24,744,0.3972,1
17189,3,1437,6.75,8524.58,271.03,36,704,0.1993,2
297,2,55,9.75,2500.0,119.41,24,656,0.067,3
19265,8,1437,4.5,14000.0,261.35,60,787,0.3571,1
14606,3,780,7.75,16100.0,355.24,60,687,0.2263,2
18593,25,47,10.25,12232.63,261.33,60,674,0.3406,3
2424,25,1407,16.0,2000.0,98.49,24,566,0.2553,5
7013,25,585,7.25,7000.0,216.4,36,705,0.1499,2
6415,9999,1090,8.75,42145.81,675.04,84,652,0.3334,3
6573,3,780,7.0,22759.66,474.02,60,783,0.2507,1
7725,3,780,6.0,15000.0,318.01,60,722,0.8437,1
18565,9999,585,4.25,38051.41,524.94,84,771,0.1477,1
3993,3,780,6.0,15000.0,305.38,60,758,0.4669,1
15737,40,1176,6.75,30000.0,50.0,0,777,0.2668,1
3350,14,1437,7.75,31617.8,583.06,72,646,0.2782,3
13090,25,1176,7.0,5000.0,125.13,48,714,0.0704,2
16313,40,780,6.75,15000.0,353.0,0,756,0.4045,1
21245,3,585,4.5,25249.12,471.47,60,801,0.5239,1
14984,3,1437,7.25,15958.39,347.21,60,708,0.3063,2
9081,25,1437,7.75,15000.0,310.19,60,705,0.5526,2
7345,23,1437,16.5,15000.0,377.05,60,617,0.367,4
22179,3,780,4.5,13220.28,259.33,60,783,0.2708,1
18116,40,585,6.75,2000.0,50.0,0,713,0.0313,2
18052,40,1437,6.75,10000.0,50.0,0,713,0.4746,2
16929,40,780,6.75,15000.0,473.0,0,700,0.1337,2
12152,23,780,5.75,30000.0,632.13,60,842,0.4025,1
20952,25,585,14.45,10000.0,245.74,60,587,0.1069,5
10780,3,585,10.0,8000.0,218.44,48,648,0.2519,3
12698,25,780,5.75,15000.0,288.19,60,756,0.5966,1
18333,40,585,6.75,30000.0,50.0,0,820,0.4478,1
19488,40,1017,6.75,5000.0,68.0,0,682,0.2865,2
21289,40,570,6.75,2000.0,50.0,0,551,0.2464,5
19070,3,585,4.5,10062.5,187.8,60,809,0.4703,1
2434,9999,1437,14.7,28623.04,604.2,72,566,0.4739,3
15212,3,1437,8.25,34287.22,603.38,72,707,0.4262,2
22483,9999,55,6.25,18250.0,156.92,180,822,0.3247,1
6149,13,1916,17.4,13539.21,368.73,60,594,0.1664,5
6092,9999,1090,3.25,16606.85,300.25,60,739,0.0378,1
14239,25,1437,6.25,4000.0,179.29,24,691,0.5121,2
12754,3,780,5.25,3000.0,131.95,24,829,0.5593,1
14493,8,55,6.75,30000.0,539.53,72,842,0.5587,1
20731,14,585,2.75,25745.26,507.3,60,819,0.113,1
16316,25,780,5.75,10000.0,202.29,60,728,0.1931,1
6906,13,585,7.25,18919.91,455.33,48,662,0.3323,3
2950,3,1090,5.5,21602.12,954.04,24,746,0.2629,1
7942,25,1916,10.75,8000.0,188.75,60,656,0.3866,3
14826,3,780,5.75,18601.06,358.31,60,724,0.5992,1
869,43,47,13.0,500.0,25.0,0,562,0.2015,5
7978,25,780,6.25,7000.0,178.18,48,807,0.7056,1
20535,9999,1090,6.25,26963.34,242.95,180,805,0.0534,1
3091,3,780,6.0,26576.0,526.37,60,742,0.2325,1
19037,8,1437,4.5,15000.0,279.84,60,681,0.6503,2
16220,3,47,7.75,27407.99,581.67,60,689,0.5688,2
2291,23,585,15.5,8000.0,294.94,36,637,0.4139,4
7650,3,780,6.0,20000.0,395.73,60,720,0.5829,1
16476,13,780,3.25,18979.31,343.53,60,842,0.1816,1
16366,25,780,6.75,17650.0,380.44,60,773,0.2904,1
13142,13,1437,5.0,34000.0,548.06,72,696,0.5249,2
5290,23,1437,9.25,1000.0,173.11,6,640,0.4129,3
16915,3,1437,7.75,30300.02,669.44,60,683,0.4798,2
6004,25,1437,15.5,6295.4,227.58,36,605,0.4203,4
6798,23,780,7.25,5000.0,104.94,60,765,0.2018,1
10357,25,780,5.25,3000.0,131.95,24,758,1.2266,1
22505,13,780,3.25,18239.0,362.72,60,734,0.3455,1
5377,40,1437,6.75,2000.0,50.0,0,609,0.209,4
1404,25,1916,7.25,3000.0,92.96,36,708,0.1376,2
17912,13,585,3.25,17528.01,317.27,60,747,0.1921,1
17826,14,585,3.75,40937.6,651.12,72,767,0.6307,1
11455,3,585,7.25,35000.0,617.09,72,759,0.5543,1
21871,13,570,7.0,5505.81,109.03,60,657,0.407,3
17709,40,1437,6.75,30000.0,524.0,0,804,0.4111,1
13198,17,47,6.75,22040.24,444.51,60,667,0.4134,3
16419,3,1437,7.25,32380.82,622.09,72,733,0.3302,1
12194,3,585,10.25,13125.66,281.51,60,673,0.1933,3
10946,23,55,15.75,20970.41,554.47,60,632,0.3706,4
3458,2,780,2.49,5000.0,424.6,12,820,1.492,1
8480,3,1090,10.5,4749.79,130.79,48,677,0.448,3
21610,25,780,4.5,10000.0,186.69,60,782,0.2386,1
2199,3,1437,15.5,1346.81,124.39,12,587,0.3393,5
4960,25,166,7.0,4000.0,179.07,24,712,0.8718,2
1398,40,1407,6.75,15000.0,50.0,0,754,0.6091,1
11505,2,570,5.75,5000.0,151.74,36,775,0.5972,1
9623,25,585,7.0,4000.0,95.86,48,701,0.2161,2
